iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
1977 1 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.80 -5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.80 -5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.80 -5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.80 -5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.80 -5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.90 -4.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 86.00 -3.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.80 -3.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.80 -3.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.80 -2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.90 -1.00 -999.00 -999.00 15.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.00 0.00 -999.00
1977 1 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 70.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 70.00 0.00 -999.00
1977 1 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 86.50 1.00 -999.00 -999.00 94.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94.00 0.00 -999.00
1977 1 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 95.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 95.00 0.00 -999.00
1977 1 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 65.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 0.00 -999.00
1977 1 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 12.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 12.00 0.00 -999.00
1977 1 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 1 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.10 2.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 9.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 9.00 0.00 -999.00
1977 2 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 59.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 59.00 0.00 -999.00
1977 2 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 93.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00
1977 2 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 93.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00
1977 2 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 55.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 55.00 0.00 -999.00
1977 2 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 9.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 9.00 0.00 -999.00
1977 2 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 2 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 1.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1977 3 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 0.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
