%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1997 354 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94 0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94 0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 91 -0.1 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 -1 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94 -1.5 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 96 -2.2 -999.00 -999.00 1.2 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 1.2 0 -999.00
1997 354 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97 -2.2 -999.00 -999.00 24.5 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 18.7 129.4 -999.00
1997 354 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 95 -1.3 -999.00 -999.00 81.2 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 28.9 471.7 -999.00
1997 354 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94 -0.7 -999.00 -999.00 115.4 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.6 557.2 -999.00
1997 354 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 91 -0.3 -999.00 -999.00 118.8 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 35.1 543.9 -999.00
1997 354 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 90 -0.1 -999.00 -999.00 92.8 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 29.6 500.3 -999.00
1997 354 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 90 -0.5 -999.00 -999.00 38.8 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 20.3 269.5 -999.00
1997 354 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 -0.4 -999.00 -999.00 5.7 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 5.7 8.3 -999.00
1997 354 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92 -0.2 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 94 -0.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 96 -2 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 96 -2.6 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99 -2.7 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99 -3.9 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99 -3.1 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
1997 354 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99 -2.8 -999.00 -999.00 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0 0 -999.00
