iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2024 153 0 0 -999.0 -20.99 4.44 -999.0 -999.0 5.88 90.23 13.04 98.42 0.0 0.0 -999.0 329.79 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 1 0 -999.0 -10.85 6.13 -999.0 -999.0 5.86 91.39 12.9 98.39 0.0 0.0 -999.0 349.89 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 2 0 -999.0 -2.78 7.25 -999.0 -999.0 5.88 92.8 12.75 98.4 0.02 0.0 -999.0 366.43 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 3 0 -999.0 2.33 7.96 -999.0 -999.0 6.51 92.9 12.64 98.42 0.01 0.0 -999.0 375.21 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 4 0 -999.0 3.56 7.64 -999.0 -999.0 7.39 92.48 12.65 98.41 0.01 1.35 -999.0 375.03 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 5 0 -999.0 6.99 9.92 -999.0 -999.0 7.95 92.05 12.72 98.44 0.07 13.76 -999.0 374.28 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 6 0 -999.0 10.01 12.73 -999.0 -999.0 8.86 92.21 12.84 98.5 0.11 24.41 -999.0 375.11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 7 0 -999.0 12.51 45.31 -999.0 -999.0 7.99 90.46 13.25 98.55 0.32 83.0 -999.0 373.64 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 8 0 -999.0 19.35 86.02 -999.0 -999.0 7.63 88.95 13.7 98.57 0.3 157.63 -999.0 374.65 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 9 0 -999.0 23.09 111.27 -999.0 -999.0 7.52 90.25 13.73 98.58 0.09 217.26 -999.0 371.17 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2024 153 10 0 -999.0 38.8 142.08 -999.0 -999.0 6.27 85.5 14.8 98.61 0.19 288.72 -999.0 377.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
